gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
1,194611010TRH,NBA,0,1947,11/1/1946,1,0,TRH,Huskies,66,1300,1293.2767,40.29483,NYK,Knicks,68,1300,1306.7233,H,L,0.64006501,
1,194611010TRH,NBA,1,1947,11/1/1946,1,0,NYK,Knicks,68,1300,1306.7233,41.70517,TRH,Huskies,66,1300,1293.2767,A,W,0.35993499,
2,194611020CHS,NBA,0,1947,11/2/1946,1,0,CHS,Stags,63,1300,1309.6521,42.012257,NYK,Knicks,47,1306.7233,1297.0712,H,W,0.63110125,
2,194611020CHS,NBA,1,1947,11/2/1946,2,0,NYK,Knicks,47,1306.7233,1297.0712,40.692783,CHS,Stags,63,1300,1309.6521,A,L,0.36889875,
3,194611020DTF,NBA,0,1947,11/2/1946,1,0,DTF,Falcons,33,1300,1279.6189,38.864048,WSC,Capitols,50,1300,1320.3811,H,L,0.64006501,
3,194611020DTF,NBA,1,1947,11/2/1946,1,0,WSC,Capitols,50,1300,1320.3811,43.135952,DTF,Falcons,33,1300,1279.6189,A,W,0.35993499,
4,194611020PRO,NBA,1,1947,11/2/1946,1,0,BOS,Celtics,53,1300,1294.8458,40.459381,PRO,Steamrollers,59,1300,1305.1542,A,L,0.35993499,
4,194611020PRO,NBA,0,1947,11/2/1946,1,0,PRO,Steamrollers,59,1300,1305.1542,41.540619,BOS,Celtics,53,1300,1294.8458,H,W,0.64006501,
5,194611020STB,NBA,1,1947,11/2/1946,1,0,PIT,Ironmen,51,1300,1295.3092,40.50798,STB,Bombers,56,1300,1304.6908,A,L,0.35993499,
5,194611020STB,NBA,0,1947,11/2/1946,1,0,STB,Bombers,56,1300,1304.6908,41.49202,PIT,Ironmen,51,1300,1295.3092,H,W,0.64006501,
